,8,40,72,104,136,168,200,232,244
0.001,8.5839975,8.61754875,8.636005,8.63885125,8.58245875,8.62464625,8.593424375,8.606356875,8.5945725
0.01,8.603521875,8.58575875,8.608371875,8.5977825,8.572903125,8.5460875,8.60414625,8.586495,8.59840625
0.1,8.611925,8.594313125,8.616284375,8.56934,8.568105,8.6260975,8.59658125,8.5701225,8.559566875
1,8.61833,8.57776375,8.5226325,8.49252625,8.5170325,8.49540875,8.49662125,8.50068375,8.51096625
5,8.5332275,8.540921875,8.238179375,8.2098075,8.21664,8.14974125,8.19454,8.21726375,8.1758725
10,8.485808125,8.4645675,7.87089375,7.86993375,7.857510625,7.822115,7.84977625,7.8728525,7.8141475
25,8.4046375,8.26620625,7.02754,7.074535,6.995725,7.011469375,7.038395,7.05567,6.90819375
50,8.14141875,7.97809375,5.718090625,5.76507375,5.72434375,5.76834,5.8017975,5.8033125,5.701700625
100,7.928290625,7.624333125,4.215673125,4.23252625,4.24636875,4.259239375,4.27637625,4.28680875,4.25117875
